BST8;BST_NAME;LAND;LAT;LON
20180000;BEKASOVO-SORTIROVOCHNOE;Russische Föderation;55.10095;36.649199
20180208;MOSKVA OTCHA-KOVO 1;Russische Föderation;55.755826;37.6173
20180505;SOLNECHNAIA;Russische Föderation;57.823764;60.056401
20180604;WNUKOWO;Russische Föderation;55.599648;37.271234
20180802;TOLSTOPALCEWO;Russische Föderation;;
20181107;SELJATINO;Russische Föderation;55.514582;36.976057
20181404;KRESTY;Russische Föderation;55.263403;37.10349
20181701;KUNZEVO;Russische Föderation;55.752981;37.386563
20181800;KUNZEWO II;Russische Föderation;55.698011;37.658875
20182204;ODINZOVO;Russische Föderation;55.673374;37.281857
20182303;GOLITZINO;Russische Föderation;;
20183202;MOJAJSK;Russische Föderation;55.4634;36.0785
20183301;NARA;Russische Föderation;55.056416;37.175835
20183707;OBNINSKOJE;Russische Föderation;;
20183905;MALOJARISLAVL;Russische Föderation;;
20184101;SUHODREV;Russische Föderation;54.806746;36.319415
20184507;;Russische Föderation;;
20185207;SUHINICHI-GL;Russische Föderation;53.9775;35.1491
20186205;FAJANSOVAIA;Russische Föderation;;
20188101;PERSPEKTIVNAYA;Russische Föderation;55.576655;37.140254
20188102;PERSPEKTIVNAYA;Russische Föderation;55.066297;36.723904
20188201;KALUGA;Russische Föderation;54.551858;36.285097
20188607;AZAROVO;Russische Föderation;54.565544;36.244569
20190009;LIUBLINO-SORTIROV.;Russische Föderation;;
20190207;SERPUHOV;Russische Föderation;54.917956;37.422996
20190306;SERPUHOV-VETKA;Russische Föderation;54.917956;37.422996
20190801;GRIVNO;Russische Föderation;55.348989;37.570096
20190900;PODOLSK;Russische Föderation;55.431245;37.545765
20191007;SILIKATNAIA;Russische Föderation;;
20191106;SCHERBINKA;Russische Föderation;;
20191205;BUTOVO;Russische Föderation;55.545646;37.589833
20191403;KRASNYI STROITEL;Russische Föderation;54.570309;31.442159
20191502;MOSKVA TOV-KURSKAIA;Russische Föderation;55.755826;37.6173
20191908;KASCHIRA;Russische Föderation;54.843831;38.186221
20192104;STUPINO;Russische Föderation;54.904044;38.080351
20192500;SOTNIKOVO;Russische Föderation;56.02337;47.783275
20192609;MIHNEVO;Russische Föderation;;
20192807;BELYE STOLBYBELYE STOLBY;Russische Föderation;55.333534;37.850812
20192906;DOMODEDOVO;Russische Föderation;55.443023;37.747817
20193300;BIRULIEVO TOV.;Russische Föderation;;
20193409;KOLOMENSKOJE;Russische Föderation;51.437398;39.669237
20193508;MOSKVA-TOVA-PAVELETSKAIA;Russische Föderation;55.755826;37.6173
20193516;MOSKVA-PASS-PAVELETSKAIA;Russische Föderation;55.731266;37.636263
20193805;PEROVO;Russische Föderation;60.682847;28.943779
20194001;MOSKVA TOV RIAZANSKAIA;Russische Föderation;55.755826;37.6173
20194010;MOSKVA MITKOVO;Russische Föderation;55.755826;37.6173
20194100;MOSKVA MITKOVO;Russische Föderation;55.755826;37.6173
20194209;LIUBERCY 1;Russische Föderation;;
20194308;LIUBERCY 2;Russische Föderation;;
20194407;MALCHIKI;Russische Föderation;;
20194803;BYKOWO;Russische Föderation;55.622277;38.064129
20194902;RAMENSKOE;Russische Föderation;55.568573;38.221269
20195404;LOSINOOSTROVSKAIA;Russische Föderation;;
20195602;MOSKVA TOVARN-IAROSLAVSK;Russische Föderation;55.755826;37.6173
20195800;BESKUDNIKOVO;Russische Föderation;55.882713;37.567768
20196006;MOSKVA BUTYRSKAIA;Russische Föderation;55.800838;37.583673
20196048;MOSKVA;Russische Föderation;55.600834;37.464563
20196105;MOSKVA RIJSKAIA;Russische Föderation;55.755826;37.6173
20196303;PODMOSKOVNAIA;Russische Föderation;;
20196402;TUCHINO MOSK;Russische Föderation;;
20196501;PAVSHINO;Russische Föderation;57.846587;28.368598
20196600;NAHABINO;Russische Föderation;55.845567;37.170791
20196808;DEDOVSK;Russische Föderation;55.862841;37.121705
20197202;NOVOIERUSALIMSKAIA;Russische Föderation;;
20197905;MOSKVA-SORT-KIEVSKAIA;Russische Föderation;55.755826;37.6173
20198002;MOSKAU-TOV.KIEVSK.;Russische Föderation;55.755826;37.6173
20198101;MOSKVA-PASS-KIEVSKAIA;Russische Föderation;55.755826;37.6173
20198200;MOSKVA-TOVA-SMOLENSKAIA;Russische Föderation;55.755826;37.6173
20198234;MOSKVA-BELORUSSKAIA;Russische Föderation;55.728586;37.600105
